,question_id,occurrences
0,q176,241688
1,q8074,240540
2,q8098,239502
3,q6185,215507
4,q1279,209663
5,q6243,207341
6,q4178,201794
7,q2069,195679
8,q2068,195675
9,q2067,195669
10,q3413,183209
11,q3412,183200
12,q3411,183198
13,q4555,179414
14,q4761,178374
15,q6442,177707
16,q2993,173063
17,q2992,173055
18,q2991,173054
19,q2630,166802
20,q2629,166802
21,q2628,166799
22,q7338,165456
23,q7337,165438
24,q7336,165432
25,q7335,165431
26,q295,126889
27,q3935,113343
28,q6952,105745
29,q6951,105725
30,q6950,105721
31,q6949,105710
32,q3788,93449
33,q6984,87259
34,q6981,87247
35,q6983,87241
36,q6982,87238
37,q5060,85351
38,q4476,84012
39,q1316,80669
40,q878,72716
41,q3774,72200
42,q4539,71985
43,q6390,70289
44,q4166,68597
45,q952,68163
46,q4043,67873
47,q5242,66163
48,q6186,64384
49,q854,63870
50,q8096,63546
51,q218,61652
52,q200,60752
53,q4886,60265
54,q9578,59419
55,q6189,59378
56,q825,59377
57,q5683,59238
58,q739,59134
59,q5248,58481
60,q4318,57251
61,q447,57133
62,q3928,56983
63,q4478,56728
64,q6071,56605
65,q835,56378
66,q6188,56248
67,q639,56245
68,q4402,56072
69,q763,55984
70,q406,55719
71,q5257,55369
72,q5770,55333
73,q6740,55242
74,q6255,54632
75,q588,54533
76,q7,54388
77,q289,54343
78,q666,54249
79,q4468,53916
80,q1297,53662
81,q1314,53243
82,q6494,53099
83,q3916,52554
84,q5103,52486
85,q5031,52172
86,q4317,52112
87,q3691,51726
88,q5416,51377
89,q722,51274
90,q5405,51251
91,q5652,51191
92,q4564,50993
93,q5775,50563
94,q5780,50417
95,q280,50367
96,q1193,50102
97,q3911,49919
98,q5648,49895
99,q921,49637
100,q3909,49474
101,q6525,49426
102,q3692,49303
103,q377,49187
104,q9606,49057
105,q4131,49022
106,q997,48888
107,q4530,48622
108,q6183,48506
109,q439,48361
110,q5238,48273
111,q5401,48129
112,q8061,47696
113,q6156,47694
114,q5682,47296
115,q5659,47108
116,q3,47011
117,q4559,47007
118,q6187,46700
119,q4297,46691
120,q5313,46440
121,q186,46032
122,q5805,45381
123,q8057,45267
124,q4474,45253
125,q5731,45184
126,q5740,44979
127,q5040,44572
128,q99,44433
129,q6074,44384
130,q3698,44346
131,q4596,44303
132,q5765,44208
133,q6731,43993
134,q4025,43934
135,q4533,43697
136,q4181,43600
137,q10,43587
138,q190,43571
139,q8162,43304
140,q5328,43276
141,q4872,43263
142,q297,43243
143,q4045,43125
144,q4582,43084
145,q5316,43073
146,q4188,42740
147,q774,42612
148,q4527,42547
149,q6127,42387
150,q973,42332
151,q4883,42302
152,q6225,42158
153,q336,42109
154,q661,41962
155,q5649,41923
156,q5738,41819
157,q1266,41795
158,q3912,41759
159,q8482,41563
160,q5663,41550
161,q6507,41394
162,q6221,41270
163,q237,41236
164,q539,40768
165,q6497,40688
166,q422,40407
167,q6733,40381
168,q856,40318
169,q3665,40151
170,q5687,40025
171,q1240,39848
172,q696,39388
173,q887,39212
174,q6175,39140
175,q902,39089
176,q767,39073
177,q56,38898
178,q5279,38786
179,q5057,38648
180,q5406,38620
181,q5667,38571
182,q5737,38381
183,q5247,38326
184,q4291,38286
185,q4490,38264
186,q554,38172
187,q3914,37892
188,q6222,37868
189,q3697,37754
190,q4059,37693
191,q4479,37642
192,q4483,37577
193,q5052,37284
194,q1292,37276
195,q4122,37229
196,q4199,37191
197,q326,37070
198,q1250,36959
199,q6502,36942
200,q4775,36611
201,q6501,36491
202,q5044,36324
203,q4517,36151
204,q5759,35819
205,q6049,35709
206,q46,35554
207,q732,35360
208,q5414,35171
209,q6466,35129
210,q5094,35060
211,q8125,35053
212,q652,34966
213,q8108,34911
214,q4771,34890
215,q6528,34831
216,q1037,34693
217,q135,34635
218,q4767,34559
219,q6722,34556
220,q6171,34534
221,q5323,34502
222,q573,34467
223,q4729,34357
224,q5262,34337
225,q1368,34297
226,q982,34250
227,q6509,34239
228,q8140,34134
229,q65,33812
230,q292,33793
231,q5337,33718
232,q59,33622
233,q1115,33474
234,q590,33439
235,q764,33402
236,q5063,33306
237,q6523,33303
238,q3950,33191
239,q5246,33173
240,q5230,33055
241,q5564,33054
242,q4300,33052
243,q3695,33006
244,q1261,32993
245,q5695,32948
246,q4481,32851
247,q259,32823
248,q6160,32777
249,q8414,32777
250,q5041,32659
251,q205,32533
252,q970,32497
253,q4831,32476
254,q6250,32454
255,q6453,32429
256,q5049,32323
257,q131,32316
258,q1000,32294
259,q4175,32293
260,q5784,32272
261,q111,32103
262,q4027,32030
263,q6831,32023
264,q6829,32003
265,q6832,31991
266,q6830,31990
267,q188,31944
268,q4557,31862
269,q4135,31848
270,q4001,31744
271,q6745,31692
272,q5735,31615
273,q1218,31573
274,q4096,31572
275,q4514,31571
276,q373,31537
277,q3699,31501
278,q4529,31490
279,q397,31435
280,q6938,31326
281,q6940,31316
282,q1370,31313
283,q6937,31309
284,q6939,31294
285,q758,31236
286,q3910,31013
287,q4319,30954
288,q3700,30934
